Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-52.04811	-235.19	183.1419	3.311927	0.253927	0.139519	0.437323	0.169231	0.9064062	2.505637
6	-58.68871	-243.5502	184.8614	0.8065541	0.0882293	0.129406	0.575267	0.207098	0.9990704	2.569841
12	-61.03003	-243.6273	182.5972	5.747628	0.430736	0.0948284	0.322676	0.15176	0.7002478	2.259541
18	-50.69062	-235.5127	184.8221	2.04977	0.786076	0.0271167	0.0922707	0.0945363	0.9372766	1.924539
24	-56.30208	-242.3215	186.0195	1.285342	0.627107	0.00690515	0.364155	0.00183207	1.275899	1.260011
30	-59.66054	-243.3738	183.7132	5.316229	0.459761	0.0521238	0.485365	0.00275018	1.350972	1.106568
36	-54.0187	-240.1119	186.0932	0.7442069	0.571391	0.173079	0.167297	0.088233	0.825003	1.930833
42	-47.15473	-232.3902	185.2355	1.079846	0.536051	0.200944	0.182748	0.0802571	0.7662382	2.306592
48	-55.25141	-240.776	185.5246	2.172453	0.199789	0.332007	0.0839842	0.38422	1.480041	0.8463591
54	-56.79006	-242.0508	185.2608	2.213536	0.408617	0.408186	0.0396109	0.143586	0.9991314	1.485219
60	-50.03516	-236.5378	186.5027	0.3812853	0.276221	0.419458	0.0550403	0.24928	0.9056937	1.844731
66	-50.39329	-233.888	183.4947	2.294956	0.550018	0.261542	0.0149345	0.173506	1.552096	2.27663
72	-44.75753	-228.9083	184.1508	2.289304	0.181284	0.18096	0.0341755	0.603581	0.9000242	2.27663
78	-41.91532	-226.3944	184.4791	2.929837	0.21266	0.582603	0.0829763	0.121761	1.021932	1.695844
84	-46.41396	-230.0893	183.6754	0.9808312	0.454099	0.261684	0.115188	0.169029	0.6514303	3.384931
90	-39.72796	-225.6581	185.9302	1.015413	0.416282	0.0227354	0.47521	0.0857723	0.8481275	1.836015
96	-51.49509	-233.1147	181.6196	5.33749	0.368769	0.0276645	0.3214	0.282166	0.4403763	3.123043
102	-54.95467	-240.0397	185.085	0.9665887	0.273617	0.688487	0.00275755	0.0351384	0.7710494	2.469899
108	-47.50106	-233.9786	186.4776	0.5184052	0.51118	0.479089	0.000708156	0.00902375	1.113871	1.627004
114	-53.19811	-238.1388	184.9407	2.996701	0.494119	0.166551	0.0602996	0.27903	0.9299292	1.3923
120	-50.87674	-237.9053	187.0286	0.4112859	0.152787	0.624448	0.157007	0.0657586	0.9783516	1.3923
126	-52.16889	-239.1727	187.0038	0.1879349	0.0145569	0.726912	0.179615	0.0789167	1.01588	1.426463
132	-53.75747	-237.3675	183.61	5.741484	0.118109	0.669604	0.0951609	0.117126	1.337036	1.055282
138	-57.11716	-241.6214	184.5042	3.526915	0.00787539	0.00787817	0.800545	0.183701	1.226248	1.26233
144	-54.62378	-236.862	182.2382	4.75242	0.00239155	0.475702	0.0671441	0.454762	1.524536	2.229099
150	-45.53781	-232.8062	187.2684	0.2252009	0.00177794	0.610225	0.0499165	0.338081	1.425553	0.8344032
156	-53.86916	-240.3025	186.4333	0.6849667	0.011496	0.65746	0.164633	0.16641	1.425908	1.290047
162	-53.80894	-240.6034	186.7944	0.5026364	0.00626164	0.861627	0.0271804	0.104931	1.705931	0.8640179
168	-62.06087	-249.1401	187.0793	0.4025927	0.00351619	0.483842	0.409777	0.102865	1.19009	1.183645
174	-57.3491	-241.3975	184.0484	2.600684	0.0877086	0.639056	0.235634	0.037601	1.541778	1.778497
180	-55.48297	-240.3426	184.8597	1.200126	0.0293217	0.839055	0.041768	0.0898548	1.095776	2.26228
186	-58.80341	-245.5326	186.7292	0.3052243	0.0432838	0.817121	0.103283	0.0363121	0.7383213	1.837846
192	-54.09554	-238.5579	184.4624	3.053362	0.0232306	0.901848	0.0554326	0.0194888	1.365052	1.39961
