Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-45.31877	-230.7362	185.4174	2.097307	0.491024	0.19237	0.168215	0.148391	1.249587	1.228938
6	-47.82866	-232.6119	184.7833	2.097307	0.443821	0.175449	0.245216	0.135513	1.185514	1.756687
12	-46.87594	-232.35	185.4741	1.116681	0.461691	0.0664549	0.384572	0.0872819	1.319333	1.756687
18	-49.98994	-236.4682	186.4783	0.7682072	0.562288	0.140254	0.242435	0.0550226	1.270152	1.308539
24	-57.23144	-242.2819	185.0505	1.592927	0.498983	0.215419	0.0799385	0.20566	1.319493	1.752547
30	-48.90571	-235.7124	186.8066	0.1625635	0.552127	0.238362	0.0884523	0.121059	0.8043703	1.699142
36	-48.9549	-233.8682	184.9133	1.427312	0.554092	0.128757	0.0489535	0.268198	0.8261289	2.267955
42	-46.71322	-233.2503	186.5371	1.049683	0.543056	0.26006	0.0117202	0.185164	1.359761	0.9073765
48	-50.14186	-236.5677	186.4258	0.8921789	0.54077	0.220481	0.088408	0.150341	0.8722273	1.55567
54	-49.65436	-235.3273	185.673	0.9762387	0.432053	0.251326	0.0621895	0.254432	0.2051144	2.449963
60	-56.39454	-242.2398	185.8452	0.8447417	0.578545	0.336541	0.0832755	0.00163896	0.1674329	2.449963
66	-44.90911	-229.1968	184.2877	1.097492	0.265092	0.554093	0.116225	0.0645895	0.1191153	3.269939
72	-37.08287	-221.296	184.2132	1.054032	0.381905	0.173157	0.32984	0.115098	0.1017038	3.34917
78	-41.42994	-224.6948	183.2649	1.25166	0.408615	0.439151	0.0546263	0.0976076	0.1767041	3.747436
84	-46.58304	-232.1271	185.5441	1.111505	0.826199	0.0318326	0.0428524	0.0991155	0.1041322	2.510243
90	-40.48714	-225.2803	184.7932	1.248624	0.246595	0.193302	0.0808129	0.47929	0.3947263	2.714438
96	-41.95341	-226.1946	184.2412	1.790373	0.743211	0.00470523	0.0253114	0.226773	0.5213239	2.689909
102	-51.38748	-234.6188	183.2313	1.863792	0.313284	0.00617671	0.382847	0.297692	2.204558	2.230788
108	-50.09645	-232.3318	182.2354	2.879758	0.389655	0.21748	0.0573463	0.335519	1.434256	2.894069
114	-65.74703	-250.537	184.79	0.8753386	0.226357	0.736887	0.00072882	0.0360267	0.9715564	2.586851
120	-61.71416	-246.8391	185.1249	0.7891373	0.446306	0.430254	0.00130836	0.122131	1.464073	2.11807
126	-45.78022	-233.0686	187.2884	0.1542936	0.628815	0.19743	0.00180438	0.171951	1.218894	0.9532169
132	-56.13071	-242.4511	186.3204	0.1121603	0.0367135	0.388356	0.0341851	0.540745	1.823796	1.156595
138	-55.15418	-240.7475	185.5933	1.528928	0.248897	0.255719	0.0987285	0.396656	1.355841	1.365207
144	-53.2794	-239.2466	185.9672	1.335769	0.413219	0.475238	0.0499593	0.0615837	1.151896	1.365207
150	-54.91846	-238.8681	183.9496	3.18646	0.621261	0.0684284	0.0327296	0.277581	1.16129	1.861595
156	-58.8773	-243.4356	184.5583	3.18646	0.595443	0.054114	0.150269	0.200174	1.150525	1.431117
162	-55.30439	-242.2125	186.9081	0.9554267	0.170457	0.306965	0.362854	0.159723	1.276646	0.6204035
168	-51.28246	-237.6577	186.3752	1.002232	0.166909	0.321394	0.3553	0.156398	1.570938	0.9049052
174	-55.18379	-241.1979	186.0142	0.7542099	0.51894	0.45537	0.00731123	0.0183783	1.151738	1.753562
180	-60.08082	-245.1836	185.1028	2.33355	0.721817	0.0219819	0.025274	0.230927	1.856474	0.755369
186	-63.48103	-247.9729	184.4918	2.599765	0.630902	0.119956	0.13792	0.111223	1.726735	1.312786
192	-57.8641	-242.9728	185.1087	2.599765	0.67765	0.0531245	0.149038	0.120188	1.742654	0.6265739
198	-64.07551	-247.1178	183.0423	7.405504	0.155668	0.0856364	0.450429	0.308267	1.605852	0.6978687
204	-59.50788	-245.1675	185.6596	1.848348	0.135857	0.0928119	0.633142	0.138189	1.667294	0.7386569
210	-56.17932	-242.1726	185.9933	1.274468	0.425621	0.353353	0.0377892	0.183236	1.905956	0.531034
216	-57.6917	-243.0749	185.3832	1.985051	0.330014	0.243061	0.146622	0.280303	1.917931	0.565495
222	-69.24276	-254.0687	184.826	2.300065	0.496098	0.440962	0.0137952	0.0491454	2.020493	0.9243563
228	-58.49386	-245.0679	186.5741	0.8226217	0.639576	0.273161	0.0139284	0.0733337	1.488782	0.9764156
234	-49.60433	-234.2129	184.6086	2.443924	0.321495	0.144569	0.0946938	0.439242	1.005886	1.833492
240	-55.80253	-240.2988	184.4963	2.443924	0.333928	0.187217	0.181424	0.29743	0.9736102	1.931902
246	-56.24969	-242.5501	186.3005	0.2898844	0.305043	0.257524	0.165731	0.271702	0.8762624	2.038104
252	-59.80757	-244.289	184.4814	0.1733671	0.265216	0.223901	0.0718312	0.439052	0.7759877	3.202236
258	-44.17129	-229.739	185.5677	0.2631821	0.241538	0.517013	0.182248	0.0592014	0.8583231	2.523567
264	-43.18464	-228.8504	185.6657	1.7368	0.211666	0.497708	0.219367	0.0712593	1.017044	1.438107
270	-39.88608	-225.6343	185.7482	0.9585572	0.160751	0.0602207	0.588017	0.191011	0.894898	1.966429
276	-37.30517	-224.2236	186.9184	0.2084241	0.0179185	0.295261	0.432317	0.254503	0.7812295	1.676132
282	-39.19547	-225.9784	186.7829	0.2084241	0.260731	0.233788	0.285931	0.219549	1.121635	1.527115
288	-41.55681	-227.582	186.0252	1.444158	0.261761	0.177036	0.479098	0.0821051	1.119446	1.26669
294	-52.27896	-238.4637	186.1847	0.5350293	0.304464	0.557761	0.0985769	0.0391983	0.6835476	2.110153
300	-49.68272	-235.7131	186.0304	0.7269231	0.12355	0.673626	0.0630822	0.139742	1.134345	1.774509
306	-47.00746	-230.5761	183.5686	3.701418	0.633947	0.0882423	0.0508687	0.226942	0.9853479	2.045224
312	-50.14924	-233.0318	182.8825	8.730948	0.486494	0.119677	0.324484	0.0693459	0.9853479	1.116104
318	-46.5923	-230.7773	184.1849	0.7632234	0.38441	0.0159441	0.550652	0.0489943	0.9818392	3.020198
